artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
tony! toni! ton?!,anniversary,1993,tu ba si vu blood die défaits mon phrasé hebs ok faut ya ressortir sent sentent rabbi veux outro nous domenech sou qui pride et tach corde voler manque danube conseil un sauf antidote poucave mal sont sa yankee nourrit picole appris mais distance attends lèvres toutes hess no rêves mois abdos permis scène tous plus bra quotidien moi intro sale regard délicat au classée dehors tarantino couplet faire cou calme pour rancunière froids quitte peut climat bouffer ahahah car traumat rêve se ombilical anniversaire ta sperme donne juste ca mif selon schlags bref quartier budokai plaisanterie ami arafat personne dédicasse attendu soeur trucs dominer athmoshère entre te très chaotique dis passe vers empire surveille rue lacets cuisine fini plutôt tatouer seum pommade taff du menottés sen rien street mancunien garanti shtars glisse il grave prend de rends ramìrez depuis ghetto bateau bac candidat volume poto la fraisier par solidaires le ramadan oiseau rafale est refrain attendant carotide nuire fennec ventriloque où dans donc mc verglassées même savent salopes mode zouj comme hallam main paradise crois jeun pleine noirs en part junkie euro ushuaïa pa gueule femme baise adversaire wonderbra bouche caisse vivants cru doi communique gagner cash bastos zorro mère nique satan arabes craignent mille garde gousses wilaya je scred casquette votre fait piges loin ne antilope gay fiston qu race saltos ravale con que sohlé crips communauté brave tropical tel quand billet une cris vie aux trève ça me tête lui vampire briques affaire rage cailloux lira salaire gangsta pendant délires parloir sur ton,0.045,0.91,0.045,-0.0258
fourplay,in my corner,1995,rap dead fuckin blood die sittin never history outtie picker homicide california slang run close ya talking people fifty key corner meet hustlas soda town set mean put grenola thats motherfuck map make frisco wiping rockin shitembed cause ol bird richmond especially ben row bow house caught fucking every well side think tell seen green profit sad ai hella hustle back bustas silkk whippin khaki still world hoe mother rich fading creased cent pie stomach juice bank say kill takin step shirt fuck jumped motherfucking grant insane youngstas distribute ta shot ten ca sicker good stankin death ojay trickery next hook fast sellin straight get hundred thangs trunk motherfucker roll corpse cream stash cuase thicker like eye dre cry sickery fadin lincoln stop wig fiend tru saying busta giva bunch george yea foot bro street oakland cock everyday got live grave shuffle haha ghetto call dank whats beginning playa enemy show trying red master choppin alot man find shoot madness better packin heat bounty see catch king come scarface game always sendin hamilton folda fourplay word ride limit killas rollin watch bout beat open crank crack motherfuckin lying deep sign short twenty as hoppin blue clowned money washington know go dog young divendends toasted right end might fire way watchin slippin today slanging talk take fucker cash wear runnin soap half another shit split stack quit cook play fool duece click cocaine big tricker move ed president paid quick sola chop nigga feel real day ice spell dollar jefferson dope sucka four yola cube top crew sayin livin franklin worlwide bitch hatin gettin committin independent,0.239,0.676,0.085,-0.995
the mad lads,cry baby,1984,home paris rap blood math die swish tellin drinkin necklace history florence never prominent mind throwing room gon city wish strategist fightin outro heart make air bap rhythm thinkin wow forgot chain kitchen whole peace love cop sunset thing rainbow fucked tourist every think gorgeous tell rock seen twisted bora made ancestor cancun ai fly back pink higher far whippin astronaut still secret intro lie night could buy broke say agoura takin verse fuck look addin charcoal relax havin waitin ta fact shot sure ca sky happiness check singing lyric would leave six apparent lost get changed wavy new train drippin soakin like missin cry drop dash light boy obvious serious bar second smile syre aura confidence hot applause na got embarrassed lotta call goodbye acrobat want started stoppin finna written man fraction left tough find drunk dark crib let one pivot year least autonomous month seventeen see glow le game long risen pillow three burn thought pippen rapper last cold watch away pity tryna girl saddest since lying drink money baby know try go young different consciousness bridge right endin took way sun hittin arm star whack alone view lookin okay malibu nightcap providence colonist diamond old colony cartier another without glistenin shit somewhere forever kid breathin guess mornin vocabular kr hill feather time sweet pop abacus wave need york quick nigga feel inherit day dribble slick together mad care hold explorer enough plane top blew path floatin sayin invented many gettin text rick,0.152,0.66,0.188,0.9195
little john,clarks booty,1985,spain name gon strain outro helen booty jah jane john beware love pon tell woah boom lord janet intro fi write say boyo give rabbit verse dress billy lane check hey toast complain ashamed jester aware affair embed polyester di walk foot na street roy got live ribbit lover man loving bim better one come refrain dem complains sister sinclair dat sign girlfriend go shame know bridge matter right part yes bother lovin wear mi problem cah trickster little feelin said clark feel damn two jean,0.199,0.635,0.166,-0.1531
digable planets,it's good to be here,1993,cat rap lex doubt bad vibe soldier present mind others chill boomin warp gon talking jazz outro meet brother flesh funk set planned wake vulcan nickel ground martian hear action planet slam skit love cop thing mister bumpin mom tell rock mecc digging ai fly dozen back crazy flush cruising fresh silkworm youth passin intro met hit could pile kiss afro transcends puma metamorphosis paper heaven insect skin bourgies comet space stirrin say shook butter miss tried scoop poetry tongue bloom funky club verse land truly life butt outer pleased boogie sky grip check even hard good slappin earned port straight six evening get doodlebug earthbound new motherfucker trunk bag cross soakin like hand slamming jeep ask saying caterpillar amongst buzz klingons ladybug sit foot street fix na toy transformation alright droppin got spock stopped wiggle ghetto spot crotch snapple child cheer bass arrived lover hendrix man left dark let player see hut band come eats add shazam kick thought thank box petrol may word resurrect pleasing kit complete bring beat knew tonight rocking silk since style fill main travellin mix black sector block baby know bomber try virgin bridge right fat jam weird yes ear sun prove today star gettin bit greet butterfly introduce fuzz pebble doug burbs saucer shit split little kid cocoon note taste dp learned enjoy dreamed sweet time groove said crowd flying pop wave fumble delivering ever york human somethin sound slim feel freak told rush doodle thin mate wide lingo colorful flam earth crew pluto quote landed blams feeling horn,0.11,0.705,0.186,0.9744
the jones girls,keep it comin',1984,sand singer dead regret piece smooth term never dame mind baddest wonder honies ya magazine full town mean ohh saga flossin ago make ready hear steady cause libs uptown waterbed love thing reach mimosa house else well cali wanted tell ai fly dismissed previous plus met dada shook keep sweat miss nuttin prime look land fade hope seems rule mami check heav good even flex chick next sheet hook get hopin tryin huh new roll state like embed drop stop couped talkin bally studded weather comfortable devious hot ad got used live call remind concurrent head fake want joke lover leather high better equipped let player dofat one however knahmean comin see body listen game long dem thought ring cold forget watch whip knew open girl pigeon sex played notch dat cover dipped swear main diggity blue heh baby know stay right might drench shinin way boo talk lookin smoke already glass creepin dude sunnin beach spliff bluffin diamond forever guess heavy first shelf fool confirms time peepin smokin big frontin class groove move resort york somethin feel jokin earring indo white flooded batman top concern tattoo aw book livin status two aww around killin lovable fully,0.106,0.716,0.178,0.9531
lucky dube,rastas,1992,früener singer wonni likkle uftah die fender grammy byles allne gaylads gibe cho git apache um duke nach turbulence mit gha alton kingston sini lüüt anderi burro häts version rhythm jah isaac ranger neue hät un john wett maytals warrior tony originator und rocksteady burning druff wärenddesse ischs soul rock murvin alpha miller gregory romeo joe mento welt hüt im buju freddy mittoo technique jammys supercat sizzla alles rankin erste neui supersonic allem au generation banton musig jamacia junior isch perry wailer ugly ufgnah yellow mitgnah riddims vybz schriibe läbt sanchez easy twin brichtet vor ranking schaffts marley robbie künschtler swing treasure ca al händ marcia da rose läbe abe abyssinian entstaht lone opel organ grad viel derrick gregor cure karrierebeginn chuck afrika afang dekker em griffith bringe beenie uf blondy yeahembed schätz reggae sleng sind jetzt jetz entwicklet richie bob stitt josey roy gönd michael insle lee de uhr shabba garnett killer ska alcapone gib wiiter ebefalls root chönnt elephantman dra capleton heptones produzente desmond dube man ursprung villne coxsone digitali one elli bounty glii ethiopian gfalle max isle king nennt nicodemus trummle dennis zrugg lose road wichtigi mc delroy rasta silk sir luciano brentford ufcho style wooo lucky short jackie riddim wale blue gentleman sin mer kartel en rrrrrr länder jamaika ganzi ich wo spice soundsystems findet everton namal rund rudeboys über dodd song heritage entstah glen vo deejays beres skatalites england bringt vendor harriot staate brown holt calypso wilson classic hammond silvertons id jacob teng kultur sound reid kelly real winner spear bi sly morgan cutty erschti respekt erfinde rebel studio gschicht lebendig washinton gibbs weg dancehall junge vocal jahr gspielt händs blender,0.072,0.889,0.039,-0.8689
capleton,chant,1995,home froth likkle lick bobo run rome pressure city outro handcuff bus town united upon make collect thunder goliath pure bruk chain john vatican whole moanembed every sling turn pon tell bear back eagle owna strong borrow control intro leaf fi weh plan klan keep drum say give shirt verse tanker shaker heap menelik selassie elizabeth weap crown haffi david beg get righteous nyabinghi east compound moan klu rastaman like hand marcus drop weak load stop light jeep orthodox ball foot garvey going used grave head ii cup stand shake man found one solomon least listen must king come le work coke long truth dem burn fight trust rain beat dragon use wha prophet stone black block pope go money know erupt heathen paul klux done agony ganja sun divided gown ethiopia fuss alone israel emmanuel mi dismantle idiot great hoii defeat time inna chant sound god babylon establish bless also ice fall binghi mad killed deepen liveth form pas waan trumpet kette beast queen kill teach chalice tremble,0.215,0.663,0.122,-0.9517
ll cool j,loungin (who do ya luv),1995,chris jewel never funny modelin duke name ya loungin corner full outro mean put slipped throwin make chanel keisha honey much stuck chain moral love thing gold asleep house actin remix turn rock twisted playin made story total ai makin peep still intro night uncle pile buy nino lounge gone stomach pushin keep miss wrong wyck verse dress willie umm ta link sure doin ca treasure lace sheet leave teaching mission get knowin versace creep cream like heard hand bond weak fiend kind blessed dove chrome hot shorty na foot protect got mack van dyin spot head platter man official blown wan let fakin player see jack long steamy burn word watch woman away whip sex threw bikini hahahaha style soon as go baby hair money try bridge know ran presto beedies watchin donna trackmasters gettin alone cash glass wo escrow flow old gabbana play learned cool dreamed moschino brown luv frontin smokin need polar fallin phone ice rather damn cristal finesse daddy roller queen complete jean cap dolce,0.09,0.752,0.158,0.9392
earl klugh,just for your love,1986,track smooth breast titty nice strobe loose hooking act lick name probe room earl charged lame producer dm hudson heart make plug temperature mood hear art love masseuse loer vaginal well grub beautiful made clothes string greenery boom fly back bounce affection solved señorita machinery nestled scenery palace hoe moderating drug hit night could facial chance boot partaking wack keep roundabout lip produce verse club look atmosphere production besides worded relax fact wrestle type sky hey lyric would conversation hook date el cruise get like chicken pubic load aight light camouflaged saying dove ship contemplate loe carolina shorty foot na got wipe tight drowned hip vast head show arrived optic stand shake lust man situation goembed bedroom rub find high window welcome hitting wan let elation looking see must come gyrate rate three dance sip burn smiling word watch whip union crackspot shack girl special pace evolve collage sticky black romance go stay wrapped right part relation knack way boo prove take via amp intimately congruent responding question attack flow taking expression velocity little stress shit stake somewhere enhance soulful first clip created hate cool time move observation noted oral stimulation migrate sound vessel mixtape feel advance keen massage mat starting jackpot lingo disco effect crew pas klugh emcee fingertip verbally hotspot debarge,0.096,0.708,0.197,0.9766
