artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
shaggy,all virgins,1993,piece never structure ya frequent gramembed lack mean put angela upon divan air hear john action wash lotion every pick well commander pon tell suzetta gram fly trojan cherry belt intro night lie fi weh say virginity give believe verse look dress traffic touched aha fit stick copy leave pack wa suzie bubble get center claim like hand line bawl command ask mansion ship buckle deh foot used tight want trying man loving left rub carry grap read one see body come sentence long lay burn sister watch woman pan loverboy marvellous touch sixteen ooh go know try virgin true right everything common guy mi cloche worth gal little tone beverly inna big wine move yet everybody bos top dancehall around,0.026,0.803,0.172,0.9501
fatback band,gotta get my hands on some (money),1995,world bill foot uncle bought buy got cash dime sam say want ooaah step give full save buyembed gim mooneey car time one make lot ta sexy honey come ca ever need work hey hard even chick anything week break buck thing six get behind yeaahh mine like hand ooh fun money ai baby know stay go two ahead around everything dig,0.019,0.75,0.231,0.9382
kris kross,it don't stop (hip hop classic),1993,hop kross rap doubt never run name ya hesitate people talking outro creatin put gun hah yuh page routine ace love proper rock playin jump back crap makin far shock card giving intro night mac sing krossed give believe verse diddy yellow stage gat place nothin devastatin ca getting hard da break lady hook get dj school trey deal like lem seat speaks stop bomb chillin rhyme rough na hip bustin call party show spit peaceembed stand man tough find wan let fakin pull dawn one better see least come always coke dream word ring cold pulsate bring mine go know right sun take star whack near wo dum servin dude old little quit play fool wrath called fulfilled time mic classic big keepin willin nigga feel real day boyega shining together smack mellow emcee sayin dominate kris two shooting daddy gettin,0.145,0.72,0.134,0.022
tlc,sumthin' wicked this way comes,1994,shine sumthin bad pray mind wonder others name become outro brother cellulite sellout grocery chilli callin hear ready buttercup cause whole color blastin pocket momma soul tell remember ai back moon stayed still goin world knapsack soundproof soft lettin could write chance advising keep arisin verse oooh look gat singin fact ca yesterday hey good picket sometimes would agree repeat mishap thangs trunk nothing longing like eye sense across wicked search kcuf corruption accidental misjudge late andre street able live master project wall chest left find gently acting help one roams see body catch come deception pulled always mirror box trash destined snap forget jail reality fashion slight dat obstacle deep sign really ooh misfocusin reason go know took endin right fat way sun point today reminder take wear wo deathtrap song flow somebody evil shit free stress understand first bitterness seed sweet time finger dimension phat need somethin quick week god feel day though gave enough throw meant around killin condom shoulda,0.155,0.708,0.137,-0.666
michael jackson,tabloid junkie,1995,factual blonde magazine exposed sanctifies glorify crucify make grassy blame glory eat hood scandal blackmail torture stab story back slander lord cia lie frame could buy bisexual keep say mutilate tabloid believe verse sympathize false homosexual feed break next actual headline dy news heroine sword face want shoot read witness one see truth resurrect word hounding use screen black marilyn go shame sin junkie medium hysteria pen men wo parasite speculate hate jfk race anything told white though assassinate everybody tv damn knoll fooling confiscate kill circulate,0.324,0.558,0.117,-0.9766
the dells,all about the paper,1995,home cat isaiah humble loose never act prophesied low cloud run ok name entirety ya ki people nazareth wizzerd jesus make jewelry messiah favor enlighten cause thing mane caught steal house bow every later well jeweler think savin playin clothes ai back raised flame foolish plus dawg goin annointed ruler lion christ paper gone say tongue fame verse making defy rely life fit rule ca hey hook straight sizzurp shepherd get new roll cross deal like respect reverence buyin talkin braggin boy self trap chrome sipped na supremely got sovereignty call face presently major man drunk high carry wan help let player lot one brighter milds see comin must king come supreme absolute lose last rollin away whip seekin bout tryna ak screen really black know gain true matter pretty excellent sovereign indeed yes shinin tool take peasant follow smoke silly judah hizzerd spliff thizzerd bling buddha kid ay lecrae throne smokin big jacob need mixed inch savior theocratic knee real jokin day reign essence earth pas sayin jew daddy confess around,0.071,0.671,0.259,0.9887
cham,break up and make up,1996,people heart ting friend something wake make absence love thing solution think tell relationship fonder telling closer could chance heaven space say easy place fact ca hard good break conversation get stronger embed brings na going wait live decision face want minute find better let wan help pain rearranged listen work long may confused lose change away go baby know stay might way talk take working alone wo without little apart thinking time sound feel together,0.111,0.561,0.328,0.9712
diamond & the psychotic neurotics,best kept secret,1992,piece track grammy shut never act fish chill low name located loop bronx ya gon troop people city brother dt make panty scale much grand base record thousand napoleon slam cop maybe thing jab pick stutter side tyson bid tell ahem rock pedigree county ai hustle back tissue raised embrace ishmael peep crease myers sharp instead reap best dab nope laid secret posse flavor wee hit write stunt rugged wack keep butter cunt say sweat upside step give produce funky plier verse fuck flab cease ta fact pair ca even bee hook lost mope small wax stronger new motherfucker grease front like hand fes demonstrate couple dis boy ask rhyme walk colombian cheese bro na street got used deadlier michael call head want pro kept shake man fanny crush official shoot better wan let crib one mike bounty see dan prop sip kick jo may word rapper sow use beat bassline girl bottom style black wet pope go know try took west might bunt fat ruff loaded booked take hype skip wo village forest plate diamond old little shit rest great learned cool mic said waterloo jammy ever paid somethin york dread nigga dip feel gab yet fall dope though dapper ninth intimidated win mad flam popcorn lou throw flip pas skill fillmore gettin kill gift,0.175,0.687,0.138,-0.847
bounty killer,see you no more (2004),1994,ghost dead blood bad cho bottle junglist run name gon bore bus town heart gun talon satisfy whole blaze thing waterford seaview sick well think tell dwell nah dozen gunshot channel still intro weh fi buy waterhouse heaven cyan gone miss say verse life place mouth sure hey copper dunkirk death bullet get mussi nozzle floor wah receive like portmore embed sell wicked hell dis ask send sorrel na mercy head man living one skull see body must corral station dem kick deport ring tivoli invest ignore murder black bell drink go know gwan door guy mi haskell satan attack somebody shell grab mell ceiling inna big pop wine angel informer sergeant barrel waan nuh many kill smell,0.291,0.579,0.13,-0.9805
wailing souls,picky picky head,1992,wisdom na buy used never near picky act superstar julie head teasing name say whoay gon another fame treat look town play friend cool brown one big juicy see come whoa getting game always action long known dread would real word day road lost get away far new well school clown louder way like natty angry speaks go tease know pay calling stayed lord yes,0.155,0.569,0.276,0.891
patra,worker man,1993,regret bad tender gon make caw ready yuh test love perfect pon tell hour improve approve bear back jus bogle still night fi start sweat stomach juice say step tongue yah pour ta flex get worker nothing like cry stop di solve jet bam got tight caress request want cup squeeze minute furlong man tough find better one body cuz come bed work long dem fret lose duck deat watch bout dun sex cyaan touch go different know matter right armstrong way tek prove galang guy hug mi problem teddy saw little net naw play inna big move gwaan real day yet care softly many boil,0.113,0.642,0.245,0.9429
shabba ranks,mr. loverman,1985,loverman never vibe mind waited run gon full outro trip thrill ago make action satisfy love caroline every well soul pon tell hour rank nah strong best goin ease intro hunting fi chance hobby sweat say kill verse easy ranking ca nooo good buck hook straight get huh claim waiting champion like bomb boy second na flowing alright wait live shabba explode call show want minute lover man loving better wan toe cow looking boof see thrillin come work long lay dem fret woman away girl tonight coming mr go favorite know woooow right chevelle take wo franklyn mi england depending inna motion feel yet eehee build franklin horn,0.062,0.576,0.363,0.9915
gang starr,mass appeal,1994,track fascinatin raw growin never slogan wonder produced room ya gon grass set please make son premier pure thump record updatin lyrically pushed rifle pretendin maybe setback tragic soul calm playin connectin nah greater fly back makin crazy peep meanin monotone card trump could hardcore cuttin tent wack nose scary chase say step give verse represent survived suffered truly gim paranoid sucker fact ca check hard mass happy guru break would hook dj get compare elroy tryin deal weapon like baggy sell bond drop weak hell stop line bomb dis boy bop rhyme na breeze got due blast head man magic lot one wand zone come prop kick fight greenback word rapper mc lecture beat wild motherfuckin def style as wet money go know appeal try crop gimmick right end jam way yes losin slack pullin without stifle shit bet kid dirt hate poser mic unique seashore time ever need race kickin nigga god feel real dope mad care skill two vocal complete kill,0.247,0.614,0.139,-0.9697
mary j. blige,you gotta believe,1994,take intro night na got never lead wo tight caress anytime tender loud want another believe verse outro man understand heart put friend wan let please make said mmm ta see must awayembed need hear always hey death leave told closest love anywhere hurt trust yes hold care tell hand go mary baby stay bridge afraid boy right part clear way,0.098,0.554,0.348,0.967
stetsasonic,go stetsa i,1986,home smooth productive doubt structure never letter barricade gamble slowly grenade present name ya brace key brother mention town please upon rhythm much definitely nightcha active rare choose sever abuse every else addicting think force pedigree seen rock co japan fun ai back formulate released stetsa admit night start shamble spelled witta puttin sing demand perfecter funky nuttin verse atmosphere truly homeboy heed place invention slows deliverance sucker treasure boogie ca proven tinglin check even good excellence delite break captured lady straight dj new wise creep like chord handle chuck torch capture rhyme effective smile ringin fan clever puba music call party lotta rapture stand wall brooklyn tension punch welcome let equipped bein regulate see listen body band surely always game example thank fight tune lose spreading mc london beat girl dynamite crack along touch def style classical go helm favorite gain bust paul right end everything jam rhymerator sun point captive take frukwan lookin wo misuse song cartwheel treat bet stet blank grab cool defeat time poem keepin ever nobody york sound verbal real winner marketing hold scratching wit awesome enough top crew competition battle refuse complete america,0.11,0.574,0.316,0.9936
al green,you brought the sunshine,1985,door today intro met came christ infallible pray problem anybody call say face ya tried verse outro put jesus life blind upon let brighten witness time straighten mmm see come ca hear work hard hey answer always god lifeline brought would peace day change yes raise gave every nothing wednesday open since tell heard hand embed made really remember sunshine ooh grace impossible saved know try calling matter solve smile way,0.072,0.596,0.332,0.9697
anthony b,bun down soddom,1996,anthony never bad overstand gi trample dung restoreth valley leadeth woyoy guh jah blessing yuh peace sodom shadow soul pon maketh green dwell nah jus emperor wi lord still world secret intro lie fi education plan information sing say give wrong verse look land false place invention selassie poison conquering rule hears gomorrah leave death haffi staff shepherd worshipin idea get east mount fortress sodomatic rastaman hand embed shun stop di almighty capture boy walk tomorrow married sit yea everyday fiya live brain pearl head soddom want comfort man find high bun outta religion shall one wan see king come zion always dem abide bring rasta girl go try fear tek talk take rastafari water introduce song diamond motherland pasture evil woy rod destroy first inna mark nobody human babylon aid helping refuge righteousness though injection curse namesake path beside nuh yoy beast,0.169,0.702,0.128,-0.85
a tribe called quest,oh my god,1993,humdinger term vogue never pathetic lick sinker run phife ya grenada people outro brother mean cleat booty honey ground trini steady unrefined equator pick voice poet side target earthly county pot dawg fader plus gladiator heaven intellect bitching say poetry funky believe verse place push sure al ca title even hard would bullet hook lady evening grit energetic get like heard mics line formula dis boy ask rhyme cheese hot ceremony na got used going hip diabetic bass master jamaica man crush living find hitting toe let wan domingo dark heat dawn glide drafting listen body see jalick three last mc precision beat mode coming mr bottom harlot style count short black tip santo go know broth try en yes way take complementary bound timbo backside old hooker little shit eating raspy case shaheed time big wind race malik sound god nigga dip day gringo care treble effect print ali everybody flip dibby toot two hoof queen condom busta timbos,0.054,0.807,0.138,0.945
mack 10,foe life,1995,rap home stowaway track stiches blood fuckin die sittin low run ya gon strap inglewood handcuff jingle gun map please son muthafucka cause record expires color eat gold caught momma hood barbed clown attire think rock seen county headed ai back number myers plus khaki goin world hoe superman sunday intro hit rim buy start rottweiler honor puttin broke keep say herb suit supermad verse look fuck sto alarm car life round ta lane feed serial rule general leave buck hook single bullet get changed picture train front like hand chuck silent light roof ask send foot na got mack wait michael waist luck call show face want minute banked stand man wan let better pull one lot ingle comin wing come mask superfly halo coulda dance rollin away tire girl underwater impala nutty numb pace superbad dough hotter yarned shoelace as wet go slow know try west took vet bust contraband hurl baby stay stripe way summer gown take wire yak flow flo hooker bet curb guess fool rescue nappy naked nigga ski day ice fo coast sewing gutta cube everybody birthday throw butta bitch swerve nerve cut july around kill cap foe dana,0.161,0.74,0.098,-0.9399
trina,tryin' to get my groove on,1996,sittin funny twentysixes gon thigh ohh set put akon cause thing actin playin ai world intro could machine bank step believe verse fuck club nothin hope ta doin leave cruise get tryin new summin roll outside like stop afford na got penny kissin lamborghini show want wan let player shawty comin see holla ride woman bout tryna girl sex mix twenty drink plenty go money know try baby bridge way door prove take water somebody stack quit groove said big move need nigga gorilla dollar truck many,0.072,0.829,0.099,0.4019
alpha & omega,show me a purpose,1994,struggle exists praise mind eternal purpose atom journey heart set jesus masterfully make flawlessly glory person ready strengthen chain omega peace love expose reach perfect every worthy soul side hour rock made destiny alpha needing greater greatest afraid wonderfully constant moment stumble lord could servant overwhelming presence darkest information cherish christ formed chapter space say daily father verse life easy foundation worship hope link mе hard even answer teaching mission nothing waiting sufficient motif praying speak proclaimed creation light anythings redemption wisdom someone passion examine receieve fantastically show want trying hourembed serve within loving eternally left find carry guiding help sealed patiently contentment see body cuz example word change everlasting cower use bold open reality strength providing salvation know shield bridge formation exclaim right part till everything way take fathom power question eternity without free rest created dеserve move direction towards ever need vessel god folly refuge day kingdom willing timing clearly build totallity many throughout revealed constantly,0.058,0.551,0.391,0.997
lil' kim,not tonight,1996,hop cat doo suck raw nice never whisper dick mind run homie pushy ya ron gon key tunnel put friend lil rockin stuck felt record eat moral love neck fucked wanted think pissy tell rock made sleepin story rémy ai back number card still world lickin night hit could sale cherish fine laughed wack ate rode askin eatin give nuttin tongue verse fuck jumped grind gim car push sleep henny ten good next would leave fast pump twice get tryin worker new motherfucker behind bag creep front like drop filled avenue downtown jeep flirtin beep ask blunt na bought got used horace spot bustin tap chanels credit want suckin kept stand man drunk wan witness dawn see come coulda lay thought trash trick bring weed tonight benz wild girl sex seal double stone black as seein go know took bust right pretty end till nut summer ear way sucked fucker alone glass african impress dude immediate figure treat shit named taste called brown time mic frontin big somethin brick nigga dug week ho real flatbush told ice feel pussy screamin willy precious top crew path pas stickin kim gettin kill jimmy,0.177,0.641,0.182,-0.2018
r.e.m.,e-bow the letter,1996,blood letter lick wrap tinfoil slowly smith name whoever outro bus victory something teenage fluorescent adrenaline eat thing neck every else flood breath seen fly far went cherry collar write film sweat scary fame verse look plastic stipe link ca badge absinthe crown seconal would corrosive get disappoint sorrow like hand eye light sadness boy field weakest bar tomorrow foot na aluminum michael got live calla pearl show magic maria welcome chink wan pull one see catch come surprise anoint thought patti ride loss girl drink go dreaming baby try starry fear take star smoke wear near tiara sickest poppy another little taste hash mash dent sweet said move maybelline ever nobody anything phone nearer thin wore strange spanish cut smell kerosene,0.168,0.72,0.112,-0.802
leroy smart,girls are skanking,1985,home eater perpetrating stuff never loose eighty glue female chef jerk chill run name ale cooling professor sill outro friend ted watching illin hassle rockin large jerry pocket pint every well breath pot shoppin ai fly keeping far ill thunderbird sipping intro hit night buy start adam write pistol juice drum boyardee norton stinking verse dress homeboy car place parking sleep castle doin general ahh seeking lady hook cruisin pump dusting get manhattan dj huh behind sniffing like stealin buyin stop wig bail boy rhyme got yauch going droppin killer bustin phony man moet brooklyn high window crib losing mike ave body king come always work tossed surgeon snap belly girl crack def fill mca bruisin drink wet money go try drinking bridge bust right jam knack way using ear take bill men slack champagne beer thigs freshest knight kid time rhymin wine baloney ed ever lewis real white day dollar dust knucklehead fillin monkey hold meter peter pas tv packing bum quarter cut knot leroy around cap,0.105,0.831,0.064,-0.8333
aaliyah,age ain't nothing but a number,1994,lovin take intro passion na got never aaliyah flow show gon verse outro within heart mean let throwin nothin ta see callin diary ca come need feel ecstasy may love thing reach change brave knock nothing bold tonight age hand eye ooh meant go ai baby fifth know afraid boy true bridge number way,0.03,0.6,0.37,0.9748
rage against the machine,take the power back,1992,student structure study sam present mind close gon outro put motherfuck unless bouncing ignorance circle playing inferior thing expose hang bow every fucking react relentless well story ai back disguise europe hatred lie intro uncle plan write causing counteract step poetry verse guitar culture ta fact swing ca attempting check eurocentric break lost get weatherman continues school front like eye taken drop hole light becomes dissed sit tear lesson bam na got installed movement interlude music teacher want spun red spirit kept stand wall militant read strangle witness ayo one year see listen come mangle truth change last allege lecture raise bring beat puncture composure crank recall fist motherfuckin style massive blue system know try bridge right fear clear way ear door pledge take power insight fraud solo shit guess fool learned time motion class interior quickness need god rope white yet together curriculum bullshit care hold learn aw rage complacent perceive teach,0.208,0.679,0.112,-0.965
g. love & special sauce,i-76,1994,home philly piece middle rap hop fella rocky nice katman mo suggest escape valentine praise course gon city voyage loungin soda outro toney put unless make darryl jerry bird route love maybe expensive south jones session made givin ai malone famous back pepper fresh va joy night start drive fastest skyscraper heist breakfast juice parley takin cheek verse shaker parent life charles marley ta singin shot even good answer would straight shoup get cruise center east new school like seat davey downtown metal dissed boy painted julius jetta smile bob nicky bobby na fix guessin got yea everyday live andrew scenic call disguised show parkline man leather spector la high stackhouse wan cottmon li one year see come pulled always game barkley lose road destined pedal trick dbl moses wilderness prep along mix really river larry go baby shame know west dog bridge grade right kristopher cadillac way take interstate view wood bronco expressway expansive question pressin anytime expression friday without another little profession feelin cool erving hill called dawkins big time pop ligum quickness otto ever quick kickin sound real day ice spark fishtown jive balboa livin gettin,0.049,0.801,0.15,0.9667
shabba ranks,love punany bad,1995,piece dead bad military name hog outro gyal brother bus put upon make panty jah hear chuney whole wash love anuh sick frock tell neither sad stab rank nah punany swallow meat stella soft coward salad intro skin world fi weh sweat say verse billy ranking shoulder hard badge happy good even buck get pum new bag front like embed sell foot shabba root english stand man stinker see saddle must come work dem pant beat pan girl wha hoist short chassing owner slurp different go true gwan chasse underneath galang wear rag mi tag lingual soap little flag inna york god also dollar wide peter nuh kill,0.172,0.657,0.17,-0.0706
kenny loggins,neverland medley,1994,neverland chart home beneath never suddenly mind wish outro heart planned make loggins pure love beyond wishing gold thing breath explaination pale think imagination fly moon truely far world intro night born start sing keep price verse look defy mile land life lullabye kate place treasure sky even compare nothing bright creation saying someone na want stand loving prayer living find explanation found wan help one see must wing come simply three traveling dream change medley tonight open count kenny paradise know stay lonesome bridge true lovely right might underneath way take star sleeping view begin moonlight trueembed old another apart somewhere forever thinking free great time big wind anything grow though together hold spin precious around,0.059,0.65,0.291,0.9885
jerry reed,another puff,1995,ow imagine sat bad puff funny mind prey throwing ya gon cigarette television wish put something make son turned hall ready anyway eat rotten love thing maybe house every wanted willpower think tell seen hour remember ai cough assurance hit could plan write decided songwriter price lit redneck give say look misunderstand skinny besides life easy log filter sure ca ahh good habit break leave mobile heard like boy fan wisdom na going got sitting lotta child started shake laugh wife ripped tough ought left lighter lot one year month body king three kick thought smoking craves away knew scratchin money coughshake know took wasted might boo today talk take spend smoke bit wo song whittling another little forming guess quit breaking thinking rest kinda offa hate time said oughta ever finally feel chester day throat scared chair enough homeembed battle around many circulate worse,0.156,0.658,0.187,0.7703
buju banton,no respect,1993,dead likkle prance vibe name dung corner full people ting ago ansa much bruk enter hear police anyway playing everyone love every lif well clown turn tell rock seen jump skellion whe instead express buju mek intro fi weh ina chance banton sing scary say step yah verse look neva place ca good da answer haffi repeat get lef muzik respeck seh like embed cry violence palve di dis boy reggae inside deh got music call red man whine find versatile wan pull tun one family jack listen must pare come see statue whol everyman dem dance woulda stranger scanking woman ratid tonight girl wild dat lawn massive go know try true yes fada greet hug mi spread everywhere sistren flow wreck without trus selector een beres play sweet hammond wine sound gwaan rope interlek grude ram glad care wit spin form bredren waan nuh dancehall around kill caan,0.13,0.671,0.199,0.8481
blues traveler,whoops,1993,imagine frustration brilliant exists bison pesky mind wonder study waste corner atom heart mean harmonica yield something please make air much starve sinking weight earthy eat maybe reach thing hurt every well think seen made torture surround subject ease world still control cringe infect heaven scary intellect say look land according life compose hope ta rule ca scream good break including death fighting breathe idea get nothing harmony desperate mountain heard eye sense chord like hell line bringing relief solve late collectively wisdom clever got used call child head want trying possibility horizon living find rubix imaginable security cow shrugging see le come puzzle user mirror fodder dream resolve may word last forget away open fossil conscience almost along whoopsembed really paradise gentleman seem go know matter right concoct everything fire friendly yes goddamn chimpanzee ear take pen men bit glass wo mortal truest figure drunken solo little floating free crust finger disease ever need finally human anything sound pill straightest weighing plea dust chopping monkey scratching cube earth hilltop polished dinosaur binge mohammed whoop feeling quiet,0.178,0.533,0.289,0.9675
jodeci,get on up,1995,fella nice never begun name loud outro heart booty mood whoa hear choose turn tell groovin nah ai afraid mutha goin still happenin intro night say step verse fuck atmosphere nothin ta ca doin check hey good lady pump get dj huh ayy outside hand like stop sit got wait alright party show minute man ohembed let ayo homegirl movin see jojo word woman tonight girl fendi negative fist ooh go baby know young duty bridge right everything take positive jodeci friday somebody shit somewhere first grab enjoy said need nobody paid somethin shakin sound feel ho day attitude hold everybody sayin damn around,0.128,0.668,0.203,0.875
the notorious b.i.g.,suicidal thoughts,1994,piece dead threaten track fuckin die puff dick mind chill wonder younger notorious loungin wish people hello outro licked put gun please make purse blame callin slit suicide love reach hang sick hangin tell sleepin nah ai back crazy gunshot goin drug lie intro mother kiss eight suicidal funeral heaven gone miss wrong believe verse buildin fuck peak life car hawkin fact ca hard even death would leave get new train motherfucker extortion cross dice mama like speak sense stealin eye stop hell aight weak talkin dressed except late tear pookie na street got timbs call head want squeeze red suckin man chest forgive abortion shoot wan hunger pull ayo hoodies see month jack comin come bed magnum wrist thought worthless sister beat girl strict buggin crack swear black paradise go baby know try matter probably end way talk died chic tote little shit buddha worst stress understand ramo kinda lyin crime time frontin big considered somethin nigga god feel real phone white day listenin glad completely bullshit hold throw aw damn disrespect bitch two daddy cut gettin,0.406,0.466,0.128,-0.9973
frank zappa,the mammy nuns,1984,heahhhh mammy arthur vai nakkin terry ya vobiskmmmmm zappa meet thrill et put scintillating callin dey incontinent hah ovuh napoleon mann haw ike pointing steve string excuse fun ai express percussion willis keyboard sing lawd drum say step give piano dominose ugly guitar harris howsabouta johnny doin singing good host buck devine jay get new like embed broadway chuck dis talkin dressed rendered tommy cum dale skirt mar dancin news bob nun bobby got de bass gots unscrutable bozzio wall wif folk ensemble dere welcome lot one unfamiliar wing ninny dem wackerman dance sister thunes use wild watson dat hafta blue anderson barrow sin right everything anyhow lookin important shoe synclavier destroy quite potato offa mash companium chad brown scott brock sho ed ray delectable faw spear white day anne wit fo murphy harry jasmine skill ohhhhh nasty two vocal kill,0.111,0.762,0.126,-0.128
john brown's body,all time,1996,track die never beneath barren davis sourapple city wish gurney bus outro set destruction turned glory parkway ready followed john army suicide thousand hurt perfect hang rally every well wanted side think force cruel tramp ohio yell excuse bear europe uncompromising hatred subject world garden lie intro leaf could born counting freedom write transatlantic brutal step give canfield verse tree car winter expect trial patrick rumbling jersey da meritt somerville dirty single equivocate new choosing wah harsh waiting okey state like speak realize sense cry heard lincoln fenway hell saved rustling light boy late finisher sit author going live grave donkey marching slide show enemy want retreat stand ridge pine man crush left la carry better let shall lot one justice cave year looking see body must come truth whence thought change jeff slave away union tonight shallow river drink asia blue splinter go know fung stickles baby gotten shouting nolen chenoweth hallelujah summer magnetize take men earnest approach trouble moderation none woe forever free lloyd england giant great criminal flag brown time class ever human inch nation earth deserves newark weep battle garrison blow around dry danger,0.251,0.56,0.189,-0.9664
michael franti & spearhead,crime to be broke in america,1994,track fuckin poverty tellin american bureaucrat ya people poorhouse meal fightin fifty brother lack shove provide much blame whorehouse hear cause record hatian cop maybe row starving house knock geronimo side turn rock remember county illegal back strong depends bat convince still wealth hit night health could plan shakur anotha broke puerto drum nervous say give treated devil life rican waitin sample courthouse analytical fact five ca hard death bombed cynical single six repeat hundred tryin school deal like warehouse punishment motha clean hell ask self afford attica pat inside brothas animal hot international na someone protect got politician critical misfit music dank cell left wan public one justice bounty comin month listen mutiny bed ding example three kick moorhouse box last trick forget sister stealth needle really twenty black block go hair know iraq matter fulla whenever yes percentage arm take whack lookin wear smoke clinic lockin college african problem song pratt free built kinda play crime score time said asian ever need service percent store nigga feel backwards defender prison four bombin care capital everybody political livin native two cut asatta amnesty kill smell america,0.269,0.597,0.133,-0.9863
the pharcyde,somethin' that means somethin',1995,destination middle track die collapse never pharcyde concentration dilapidate past ya people fightin society grabbed heart mean put make frequency meadow park cause record everyone reach later charlie side think profit fun fly formulate best either world hoe intro pile tapped wack say rotates believe verse fuck devil mile steel storm life round sleep ta trial future even chick company sometimes cake hook twice mold get small state like eye ban metal creation sap kind ask ball rhyme settle got going mack brain sunrise face frequently device lyrical capitalistic man faze better dark cloudy see cuz come owes mask game kick thought dream ride last cold business bring girl tribulation bootie along dough prophet deep travel black money fatlip end based continuing fat everything awake talk glass college silly stallion flow rot falling free stack shit somethinembed play brown mic time strollin somethin eve quick twinkie level nigga ho yet fantasy together riddle rebel nation form stiletto verbally build trapped conceive many,0.141,0.686,0.173,0.5574
common,resurrection,1994,rap quicker asked mind produced windpipe feedin wish odds punchlines retest riff nestle town relinquished bonded friend make fell malt dumb rhythm judge freestyle abdomen video unravelin ben broad resurrection slime chicago lp south side soul turn imagination made meaner confined ai grammatics back went combine stagger badgering gym best mum arrested control flight skin night intro lie hit hooked buy dyke fought global gone drum poetry tried fingerprint verse negro truly deliver storm bleedin ta check even holding tribe sometimes break would hook halt proceed get cruise indicted thicker like bright sense sell babblin sunshine eye bail line light rhyme send textualize speech readin beef wisdom street unsigned got seek schwinn live brain tight cell bass wail device steven read outta heat one come chastise spite travelin sticker thought fight word ride madelyne use open bathe style trade guilty rinse enlight go try gatherin jury right everything believin needin spend common uac men liquor guy hype insight analyze everywhere recess bike kite scatterin shit eating grab rest time said motion exercise id knee nigga ho freak masculine dim scared developed pussy southside hold scratched enough possessed bum verbally diet two vocal cut dry parole,0.139,0.747,0.114,-0.7003
da brat,funkdafied,1994,home fella funkalistic eric bent sack name funk town friend make jermaine provide neck hang proper well side ai letting back mutha janet hoe control puttin keep dammit miss humunah verse fact brat ca da grammar straight pimping get new nothing roll creep chronic mama like handle jeep roof em tear got ghetto hip call head ralph sistas left hitting found let switch comin listen catch come duet lay jama dupri passed kick snap open thang since dynamite coming ashford def as baby know stay matter right funkdafied fat way team putting vocalistic meaning tag bandit simpson flow solo honeymoon shit breaking fool mic click big time groove move sound nigga dip real freak pas cha bitch parliament many whoomp,0.109,0.8,0.092,-0.6486
pete rock & c.l. smooth,worldwide,1994,home singer smooth mathematically area nice raw suggest letter act soar praise sec ya amazed gon bigger funk brother town put make son messiah sank unorthodox hear debate mutilator cause record bald talent wishing caught house well soul rock thorough neighborhood worldwide needing local fly greatest pay crazy mecca plus giving perish still posse soft flavor dreds hit born write orchestrater christ hardcore wack keep mandatory price step precise ini funktator steel relax place fit check hard break leave pack straight mission wax proceed get lost aside school state like cipher steadily stop vernon wig brings microphone bop rhyme pulling luva na polo fix protect flowing going got ingredient ghetto blast slide head fake master stand worldwideembed awed fraction guide find ra grap wan let versatile religion dawn one see listen must supreme prop thought buster rapper mc encouraging beat categorized wild envision played coming attract figuring style pete mix main wringer as asia pound select bust cl yes way point bit wholesome wo none flow taking wreck underground exhausted stress shit blank quite kid grab rest finger mic joint store nigga god feel real mailman borough average four mad inject hold rob marco hide conduct competition skill amaze carrier method battle two scurrying,0.13,0.643,0.227,0.9759
digable planets,jimmi diggin' cats,1993,rap hayes cat track crest stuff beneath chill ya funk outro flesh air float rhythm isaac stuck wizard guessed felt planet grows retro pick soul walkman rock groovy digging ai fly back constant number mecca zip shock diggin laid goin placebo intro hit skin could pimp lizard afro lac paying velvet hanging give busting funky verse peak look havoc life whether five seems doin getting check good mass hat would six get doodlebug dj east measured melt roll like respect exactly hippy logic across drop nap jeep bringing rhyme blessed brothas dig mar ladybug rocked twist crushed spot hip call show master man find found equipped ave haired ware jimmi metro hammer long lay channeled kick woulda braid dream word ride beautifulest mc bout rain homey loot really sticky black block plait shaft hair know true bridge pleasure right jam square weird yes way today star panther tito butterfly cartoon synthesis song wreaking half thinking blocked quite kinda cool seven finger jackson pop joint phat junky sound dread dug real sweetback freak slick together jive everybody fikky,0.13,0.726,0.144,0.6275
pete rock & c.l. smooth,all the places,1994,missile smooth term furthermore raw huguenot sat loose gamble homicide travelling sack name probe warp brother journey town monologue set chiseled something watching solid make ready summertime cause fruit playing gangster survive love happens abuse asleep every batting patting turn rock universal cuties pot clan ai back stats crazy strong plus still grown revelation jungle night drive rugged palled keep household tent space residential believe verse prime peak making ink car life willie place condo season type ca resides general check hardest bowler dirty hook ending repeat triple compare tenderoni speed ghettofied compound heard like respect baggy ruby fiend boy circumference blessed bar regain physique dig late rough shorty street toy seek got tight pool spot child beginning show want trying usual stand man labor jog find welcome heat one member demanding supplied alive zone king come band wealthy shower game hoping lay fight last ring laundry business woman open tonight girl screen mistake pete soon black drink reason go money stay right door critique tool rolling take mosconi sliding working men power chatting robbery everywhere reincarnation little yapping rated play chin fool time click big sending pop joint guinness strongest store known sound god feel real connect mat fall jackpot firm hottest legendary exit rebuild flip tv sneaker two around many jean fully,0.084,0.738,0.177,0.9676
