artist,title,year,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
lefty frizzell,the long black veil,1950,"The Long Black Veil LyricsTen years ago, on a cold, dark night
There was someone killed 'neath the town hall light
There were few at the scene, but they all agreed
That the slayer who ran looked a lot like me

The judge said, ""Son what is your alibi?
If you were somewhere else, then you won't have to die""
I spoke not a word, though it meant my life
For I had been in the arms of my best friend's wife

She walks these hills in a long black veil
She visits my grave when the night winds wail
Nobody knows, nobody sees
Nobody knows but me
The scaffold was high and eternity nears
She stood in the crowd and shed not a tear
But sometimes at night when the cold wind moans
In a long black veil, she cries over my bones

She walks these hills in a long black veil
She visits my grave when the night winds wail
Nobody knows, nobody sees
Nobody knows but me
Nobody knows but me
Nobody knows but meEmbed",0.075,0.84,0.085,0.4623
lefty frizzell,"give me more, more, more (of your kisses)",1950,"Give Me More, More, More (Of Your Kisses) Lyrics[Verse 1]
When my gal and I go on a date
We always come in kinda late
When I say goodnight at her front door
I always beg for one kiss more

[Chorus 1]
Give me more, more, more of your kisses
I want more, more, more tender kisses
And when I finally go
You can hear the rooster crow
Oh please give me one more tender kiss
[Piano Solo]

[Verse 2]
Now I'll admit I lose some sleep
By staying out so late
But when I kiss my gal goodnight
The sleep will have to wait

[Chorus 2]
Give me more, more, more of your kisses
I want more, more, more tender kisses
The neighbors all raise Cain
And I know that it's a shame
But I've got to have another tender kiss

[Fiddle Solo]

[Verse 3]
Now all the neighbors in her block
Have offered things, you see
They'll even pay the wedding bills
To just get rid of me

[Chorus 3]
Yelling more, more, more of your kisses
I cry for more, more, more tender kisses
And when I leave her door
You can hear me beg for more
Oh, please give me one more tender kissEmbed",0.067,0.743,0.19,0.9829
ella fitzgerald,i've got a crush on you,1950,"I’ve Got A Crush On You LyricsMmmmm
I've got a crush on someone, guess who?
I've got a crush on you, sweetie pie
All the day and nighttime, hear me sigh
I never had the least notion
That I could fall with so much emotion

Could you coo? Could you care?
For a cunning cottage we could share
The world will pardon my mush
'Cause I've got a crush, my baby, on you
How glad a million laddies
From millionaires to caddies
Would be to capture me
But you had such persistence
You wore down my resistance
I fell and it was swell

You're my big and brave and handsome Romeo
How I won you, I shall never never know
It's not that you're attractive
But, oh, my heart grew active
When you came into view

I've got a crush on you, sweetie pie
All the day and nighttime, hear me sigh
I never had the least notion
That I could fall with so much emotion

Could you coo? Could you care?
For a cunning cottage we could share
The world will pardon my mush
'Cause I've got a crush, my baby, on youEmbed",0.052,0.733,0.215,0.9913
ella fitzgerald,but not for me,1950,"But Not For Me LyricsThey're writing songs of love, but not for me
The lucky stars above, but not for me
With love to lead the way, I've found more clouds of gray
Than any Russian play could guarantee

I was a fool to fall and get that way
Hi-ho, alas, and also lackaday
Although I can't dismiss the memory of his kiss
I guess he's not for me

It all began so well, but what an end
This is the time a fellow needs a friend
When every happy plot ends with a marriage knot
When there's no knot, I guess he's not for me2Embed",0.066,0.667,0.267,0.9852
ella fitzgerald,soon,1950,"Soon LyricsSoon, the lonely nights will be ended
Soon, two hearts as one will be blended
I've found the happiness I've waited for
The only boy that I was fated for

Oh, soon, a little cottage will find us
Safe with all our cares far behind us
The day you're mine, this world will be in tune
Let's make that day come soon

Soon, soon, soon, my dear, you'll never be lonely
Soon, you'll find I live for you only
When I'm with you, who cares what time it is?
Or what the place, or what the climate is?
Oh! Soon, our little ship will come sailing
Home through every storm, never failing
The day you're mine, this world will be in tune
Let's make that day come soon
Let's make that day come soonEmbed",0.016,0.822,0.162,0.9697
gene ammons,it's the talk of the town,1950,"It’s the Talk of the Town LyricsWe were more than lovers
We were more than sweethearts
It's so hard to understand
Don't know why it happened
Don't know how it started
Why should we be strangers
After all we planned
I can't show my face
Can't go anyplace
People stop an' stare
It's so hard to bear
Everybody knows you left me
It's the talk of the town
Every time we meet
My heart skips a beat
We don't stop to speak
'Though it's just a week
Everybody knows you left me
It's the talk of the town
We send out invitations
To friends and relations
Announcing our weddin' day
Friends and our relations
Gave congratulations
How can you face them?
What can you say?
Let's make up sweetheart
We can't stay apart
Don't let foolish pride
Keep you from my side
How can love like ours be ended?
It's the talk of the town
How can you face them?
What can you say?
Let's make up sweetheart
We can't stay apart
Don't let foolish pride
Keep you from my side
How can love like ours be ended?
It's the talk of the town, hm
It's the talk of the townEmbed",0.041,0.75,0.209,0.9921
gene ammons,you go to my head,1950,"You Go to My Head LyricsYou go to my head
And you linger like a haunting refrain
And I find you spinning round in my brain
Like the bubbles in a glass of champagne
You go to my head
Like a sip of sparkling burgundy brew
And I find the very mention of you
Like the kicker in a julep or two
The thrill of the thought
That you might give a thought to my plea, cast a spell over me
Still I say to myself get a hold of yourself
Can't you see that it never can be?
You go to my head
With a smile that makes my temperature rise
Like a summer with a thousand July's
You intoxicate my soul with your eyes
Though I'm certain that this heart of mine
Hasn't a ghost of a chance in this crazy romance
You go to my head
You go to my headEmbed",0.025,0.774,0.201,0.9804
tony bennett,stranger in paradise,1950,"Stranger In Paradise LyricsTake my hand
I'm a stranger in paradise
All lost in a wonderland
A stranger in paradise

If I stand starry-eyed
That's a danger in paradise
For mortals who stand beside
An angel like you

I saw your face
And I ascended
Out of the common place
Into the rarest somewhere in space
I hang suspended
Until I know
There's a chance that you'd care
Won't you answer this fervent prayer?
Of a stranger in paradise
Don't send me in dark despair
From all that I hunger for
But open your angel's arms
To this stranger in paradise
And tell him that he need be
A stranger no moreEmbed",0.08,0.711,0.209,0.9537
dean martin,zing-a zing-a zing boom,1950,"Zing-A Zing-A Zing Boom Lyrics(Zing-a zing-a zing-a zing-a zing-a zing-a zing-a zing-boom)
(Zing-a zing-a zing-a zing-a zing boom)
A funny melody that keeps you singing
(Zing-a zing-a zing-a zing-a zing boom)
And in your memory it keeps on ringing
(Zing-a zing-a zing-a zing-a zing boom)
Can work a charm on arm and arm when two hearts are clinging
So take the one you love and start to dance
You will find a one way ticket to romance
While music is playing and dancers are swaying
The gay cabellero may feel cupid's arrow
You dance with a new love you may find a true love
Who will say I do love and make your heart go zing-a zing-a boom
(Zing-a zing-a zing-a zing-a zing boom)
You can't escape it once the music gets you
(Zing-a zing-a zing-a zing-a zing boom)
You can't forget it for it never lets you
(Zing-a zing-a zing-a zing-a zing boom)
And if you're worried or anything upsets you
There's one thing that will chase away the blues
Zing-a zing-a zing-a zing-a zing boom

While music is playing and dancers are swaying (zing-a zing-a boom)
The gay cabellero may feel cupid's arrow (zing-a zing-a boom)
You dance with a new love you may find a true love (zing-a zing-a boom)
Who will say I do love and make your heart go zing-a zing-a boom (zing-a zing-a boom)

(Zing-a zing-a zing-a zing-a zing boom)
Zing-a zing-a zing-a zing-a zing boom
(You can't escape it once the music gets you
Zing-a zing-a zing-a zing-a zing boom
(Can't forget it for it never lets you)
Zing-a zing-a zing-a zing-a zing boom
And if you're worried or anything upsets you
There's one thing that will chase away the blues
(Zing-a zing-a boom zing-a zing-a boom zing-a zinga-boom)
Zing-a zing-a boom boomEmbed",0.035,0.783,0.182,0.995
dean martin,be honest with me,1950,"Be Honest With Me LyricsBe honest with me dear whatever you do
Remember you're mine dear so always be true
Where ever you wander on land or on sea
If you really love me be honest with me

My poor heart would break dear if you were untrue
Asleep or awake dear I dream about you
Oh you are my darling you're all that I see
If you really love me be honest with me

Some day I'll return dear kinda make you my own
And how I will yearn dear when I'm all alone
But I never forget dear your sweet memory
If you really love me be honest with meEmbed",0.043,0.612,0.345,0.9897
